Name,Age,Email,Medical_Illness,ID_Card,Phone_Number,Address,Has_Email,Has_ID_Card,Has_Phone_Number,Has_Address,Privacy_Level,Target_Privacy_Level,Date&Time
Ahmed,35.0,abc@example.com,Hypertension,43142435-34-6456,(956) 345-5445,Karachi,1,1,1,1,High,2,13-11-23 13:04
Ansari,26.0,-,Mental,-,(94) 533-4555,-,1,0,0,0,Low,0,14-11-23 13:04
Adil Aijaz,42.0,xyz@example.com,,-,(945) 734-4534,-,1,0,1,0,Medium,1,15-11-23 13:04
Ramish,28.0,gjff@example.com,Asthma,-,-,-,1,0,0,0,Low,0,16-11-23 13:04
Ahmed,19.0,-,-,-,-,Hyderabad,0,0,0,1,High,2,17-11-23 13:04
Maria,19.0,-,Headache,45433453-43-4934,-,-,0,0,1,0,Medium,1,18-11-23 13:04
Hasan,28.0,gjff@example.com,False Alarm,-,-,-,1,0,0,0,Low,0,19-11-23 13:04
Aliya,19.0,gfdjgdj@example.com,Headache,45433453-43-4934,-,-,1,1,0,0,High,2,20-11-23 13:04
Frederick Tran,58.0,-,Hypertension,-,-,-,0,0,0,0,Low,0,21-11-23 13:04
Shirley Cox,51.0,stephanie44@example.net,Mental,-,(890)791-2685x0630,Donnaberg,1,0,1,1,High,2,22-11-23 13:04
Karen Gonzalez,29.0,ystein@example.com,Asthma,96585554,416-774-8393,Lake Davidside,1,0,0,0,Low,0,23-11-23 13:04
Angela White,40.0,kathyriley@example.org,Headache,-,001-706-615-4393x76810,West Henrymouth,1,0,1,0,Medium,1,24-11-23 13:04
Kelly Carrillo,45.0,-,-,99056977,(203)463-0732x01091,-,1,0,0,0,Low,0,25-11-23 13:04
Johnny Lowe,50.0,daniel19@example.com,-,-,282-252-1094x64428,South Joseph,0,1,0,0,High,2,26-11-23 13:04
Morgan Chandler,31.0,sarastewart@example.org,-,-,-,-,1,0,1,0,Medium,1,27-11-23 13:04
Alexander Murphy,47.0,-,False Alarm,19595727,777.942.4664x1502,-,0,0,1,0,Medium,1,28-11-23 13:04
Dr. Hannah Russell DVM,46.0,-,Mental,54937717,(242)669-4709x23075,New Jared,0,1,1,1,High,2,29-11-23 13:04
Adrian Adams,52.0,-,Headache,-,-10226,-,0,0,0,0,Low,0,30-11-23 13:04
Taylor Vazquez,30.0,-,False Alarm,70524177,-,North Wendy,1,0,1,0,Medium,1,01-12-23 13:04
Hector Brown,41.0,harrislisa@example.com,Hypertension,77360029,(343)486-9701x43535,Connieberg,1,0,0,0,Low,0,02-12-23 13:04
Robert Bradley,30.0,-,-,-,(958)230-4328x766,-,0,0,1,1,High,2,03-12-23 13:04
Nicole Clark,39.0,austin88@example.org,False Alarm,-,774-806-8837x6982,-,1,0,0,0,Low,0,04-12-23 13:04
Evan Olson,22.0,joneskelly@example.net,Hypertension,-,-1806,Hullton,0,0,1,0,Medium,1,05-12-23 13:04
Christopher Franklin,24.0,sbarber@example.com,-,13550118,5224838646,-,1,0,1,0,Medium,1,06-12-23 13:04
Paul Aguilar,18.0,ohunter@example.net,-,99251569,614-596-8543x34056,New Josephview,1,0,0,0,Low,0,07-12-23 13:04
Jessica Sawyer,48.0,fbooth@example.net,Hypertension,-,001-217-503-6289x64269,Jefferyshire,0,1,0,0,High,2,08-12-23 13:04
Mr. Robert Mills,36.0,kimberly86@example.org,Mental,-,-,-,1,0,1,0,Medium,1,09-12-23 13:04
Dennis Bradford,18.0,jeremiah73@example.net,-,84366238,-,-,0,0,1,0,Medium,1,10-12-23 13:04
Jimmy Christensen,19.0,zmartin@example.org,-,-,-,Hallland,1,0,0,0,Low,0,11-12-23 13:04
Adam Hanson,37.0,wongbrian@example.net,-,56251481,+1-341-589-1889x27746,Salazarborough,1,1,1,1,High,2,12-12-23 13:04
Garrett Flowers,48.0,-,Asthma,-,001-349-806-6430x8339,New Brian,0,0,1,0,Medium,1,13-12-23 13:04
Christopher Bishop,34.0,-,-,71833987,-,-,0,1,0,0,High,2,14-12-23 13:04
Stephanie Mccullough,31.0,annetterobinson@example.net,-,35967518,+1-738-843-7174x2845,-,1,1,1,0,High,2,15-12-23 13:04
Devon Clark,38.0,deannaroberts@example.org,Headache,60081754,-,-,1,0,0,0,Low,0,16-12-23 13:04
Monica Wilson,54.0,padilladillon@example.com,-,70375495,-,-,1,1,1,1,High,2,17-12-23 13:04
Grant Morrison,18.0,-,Hypertension,57546927,-,-,0,0,1,0,Medium,1,18-12-23 13:04
Tracy Ortiz MD,47.0,jeffery48@example.com,False Alarm,-,001-393-428-7636x82757,-,1,0,0,0,Low,0,19-12-23 13:04
Anthony Foley,42.0,vangjim@example.com,-,-,+1-270-378-8669x18519,Hilltown,0,0,1,1,High,2,20-12-23 13:04
Julie Kim,39.0,olivia86@example.org,Hypertension,95574345,-,New Jennifermouth,0,0,0,0,Low,0,21-12-23 13:04
Nancy Parker,40.0,gutierrezsusan@example.com,-,22966402,001-470-214-9272x1803,West Amyhaven,1,1,1,1,High,2,22-12-23 13:04
Yolanda Evans,48.0,-,-,23465432,402.546.1285,Hoodtown,1,0,1,0,Medium,1,23-12-23 13:04
Benjamin Morgan,60.0,-,-,12467939,-,New Patricia,0,0,1,0,Medium,1,24-12-23 13:04
